strike,days_to_expiry,price,implied_volatility,delta,gamma,vega,theta,underlying_price,call_put
260.0,30,304.84,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
270.0,30,324.21,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
275.0,30,316.0,3.435853461151123,0.7,0.0,0.0,0.0,561.02,1
280.0,30,293.02,2.6786532057189945,0.7,0.0,0.0,0.0,561.02,1
285.0,30,321.51,2.0958299557495113,0.7,0.0,0.0,0.0,561.02,1
290.0,30,298.06,2.6050449913024902,0.7,0.0,0.0,0.0,561.02,1
295.0,30,297.27,2.968386368103027,0.7,0.0,0.0,0.0,561.02,1
300.0,30,252.13,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
305.0,30,292.05,2.556033883361816,0.7,0.0,0.0,0.0,561.02,1
320.0,30,279.73,2.9227932203674323,0.7,0.0,0.0,0.0,561.02,1
325.0,30,252.24,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
330.0,30,256.93,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
335.0,30,228.42,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
340.0,30,267.0,1.9132694766235354,0.7,0.0,0.0,0.0,561.02,1
345.0,30,216.97,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
350.0,30,211.25,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
355.0,30,195.59,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
360.0,30,210.53,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
365.0,30,247.07,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
370.0,30,189.2,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
375.0,30,184.53,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
380.0,30,179.56,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
385.0,30,174.23,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
390.0,30,169.57,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
395.0,30,164.65,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
400.0,30,161.21,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
405.0,30,155.41,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
410.0,30,149.51,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
415.0,30,144.24,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
420.0,30,141.5,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
425.0,30,134.88,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
430.0,30,130.74,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
435.0,30,134.25,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
440.0,30,128.9,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
445.0,30,116.06,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
450.0,30,111.25,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
455.0,30,99.71,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
460.0,30,100.9,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
465.0,30,98.58,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
470.0,30,91.06,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
475.0,30,86.33,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
480.0,30,81.0,1.0000000000000003e-05,0.7,0.0,0.0,0.0,561.02,1
