2025-03-17 14:14:53,086 INFO    MainThread:2465 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_setup.py:_flush():67] Configure stats pid to 2465
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_setup.py:_flush():67] Loading settings from /Users/zachmaurus/.config/wandb/settings
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_setup.py:_flush():67] Loading settings from /Users/zachmaurus/manifold_deep_learning/paths_on_manifold/wandb/settings
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/zachmaurus/manifold_deep_learning/paths_on_manifold/wandb/run-20250317_141453-j70ucqh1/logs/debug.log
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/zachmaurus/manifold_deep_learning/paths_on_manifold/wandb/run-20250317_141453-j70ucqh1/logs/debug-internal.log
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_init.py:init():761] calling init triggers
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'dimensions': 4, 'total_epochs': 30, 'steps_per_epoch': 8, 'total_steps': 240, 'update_interval': 0.2, '_wandb': {}}
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_init.py:init():784] starting backend
2025-03-17 14:14:53,087 INFO    MainThread:2465 [wandb_init.py:init():788] sending inform_init request
2025-03-17 14:14:53,108 INFO    MainThread:2465 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-17 14:14:53,108 INFO    MainThread:2465 [wandb_init.py:init():798] backend started and connected
2025-03-17 14:14:53,110 INFO    MainThread:2465 [wandb_init.py:init():891] updated telemetry
2025-03-17 14:14:53,127 INFO    MainThread:2465 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 14:14:53,492 INFO    MainThread:2465 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 14:14:53,621 INFO    MainThread:2465 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 14:14:53,621 INFO    MainThread:2465 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 14:14:53,622 INFO    MainThread:2465 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 14:14:53,622 INFO    MainThread:2465 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 14:14:53,624 INFO    MainThread:2465 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 14:14:54,588 INFO    MainThread:2465 [wandb_run.py:_finish():2112] finishing run mauruszach-southern-cal/manifold-deep-learning/j70ucqh1
2025-03-17 14:14:54,588 INFO    MainThread:2465 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-17 14:14:54,589 INFO    MainThread:2465 [wandb_run.py:_restore():2322] restore
2025-03-17 14:14:54,589 INFO    MainThread:2465 [wandb_run.py:_restore():2328] restore done
2025-03-17 14:14:55,291 INFO    MainThread:2465 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-17 14:14:55,291 INFO    MainThread:2465 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-17 14:14:55,291 INFO    MainThread:2465 [wandb_run.py:_footer_sync_info():3917] logging synced files
